Device Serial Number: ,64
Device firmware: ,2
Device PM slope: ,0.9325
Device PM offset: ,-390
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:23:45 AM
Mission end date: ,08/29/2018 07:23:10 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1753
Maximum 40 sample PM level:,1418
Minimum 40 sample PM level:,-2
Average active PM concentration:,464
Average PM concentration:,226

Time Stamp, PM, compliance
08/29/2018 09:23:45 AM,-12,1
08/29/2018 09:24:05 AM,3,1
08/29/2018 09:24:26 AM,4,1
08/29/2018 09:24:46 AM,4,1
08/29/2018 09:25:07 AM,5,1
08/29/2018 09:25:27 AM,5,0
08/29/2018 09:25:48 AM,4,1
08/29/2018 09:26:08 AM,3,1
08/29/2018 09:26:29 AM,4,1
08/29/2018 09:26:49 AM,4,1
08/29/2018 09:27:10 AM,4,0
08/29/2018 09:27:30 AM,5,1
08/29/2018 09:27:51 AM,3,1
08/29/2018 09:28:11 AM,3,1
08/29/2018 09:28:32 AM,3,1
08/29/2018 09:28:52 AM,4,1
08/29/2018 09:29:13 AM,3,1
08/29/2018 09:29:33 AM,3,1
08/29/2018 09:29:54 AM,6,1
08/29/2018 09:30:15 AM,6,1
08/29/2018 09:30:35 AM,1,1
08/29/2018 09:30:56 AM,1,1
08/29/2018 09:31:16 AM,4,1
08/29/2018 09:31:37 AM,4,1
08/29/2018 09:31:57 AM,6,1
08/29/2018 09:32:18 AM,25,1
08/29/2018 09:32:38 AM,7,1
08/29/2018 09:32:59 AM,7,1
08/29/2018 09:33:19 AM,7,1
08/29/2018 09:33:40 AM,5,1
08/29/2018 09:34:00 AM,9,1
08/29/2018 09:34:21 AM,6,0
08/29/2018 09:34:41 AM,0,1
08/29/2018 09:35:02 AM,2,1
08/29/2018 09:35:22 AM,4,1
08/29/2018 09:35:43 AM,2,1
08/29/2018 09:36:04 AM,2,1
08/29/2018 09:36:24 AM,5,1
08/29/2018 09:36:45 AM,1,1
08/29/2018 09:37:05 AM,6,1
08/29/2018 09:37:26 AM,2,1
08/29/2018 09:37:46 AM,0,1
08/29/2018 09:38:07 AM,0,1
08/29/2018 09:38:27 AM,4,1
08/29/2018 09:38:48 AM,1,1
08/29/2018 09:39:08 AM,6,1
08/29/2018 09:39:29 AM,0,1
08/29/2018 09:39:49 AM,-1,1
08/29/2018 09:40:10 AM,0,1
08/29/2018 09:40:30 AM,1,0
08/29/2018 09:40:51 AM,0,1
08/29/2018 09:41:11 AM,0,1
08/29/2018 09:41:32 AM,0,1
08/29/2018 09:41:52 AM,-1,0
08/29/2018 09:42:13 AM,0,1
08/29/2018 09:42:34 AM,-2,1
08/29/2018 09:42:54 AM,-1,1
08/29/2018 09:43:15 AM,-1,1
08/29/2018 09:43:35 AM,-2,1
08/29/2018 09:43:56 AM,-2,1
08/29/2018 09:44:16 AM,-2,1
08/29/2018 09:44:37 AM,-3,1
08/29/2018 09:44:57 AM,-2,1
08/29/2018 09:45:18 AM,0,1
08/29/2018 09:45:38 AM,0,0
08/29/2018 09:45:59 AM,-1,0
08/29/2018 09:46:19 AM,-2,1
08/29/2018 09:46:40 AM,-1,0
08/29/2018 09:47:00 AM,-1,1
08/29/2018 09:47:21 AM,-3,1
08/29/2018 09:47:41 AM,-2,1
08/29/2018 09:48:02 AM,-4,0
08/29/2018 09:48:23 AM,-3,0
08/29/2018 09:48:43 AM,-2,1
08/29/2018 09:49:04 AM,-3,1
08/29/2018 09:49:24 AM,-5,1
08/29/2018 09:49:45 AM,-5,1
08/29/2018 09:50:05 AM,-4,1
08/29/2018 09:50:26 AM,-2,0
08/29/2018 09:50:46 AM,-3,1
08/29/2018 09:51:07 AM,-2,1
08/29/2018 09:51:27 AM,-5,0
08/29/2018 09:51:48 AM,-4,1
08/29/2018 09:52:08 AM,-3,1
08/29/2018 09:52:29 AM,-4,0
08/29/2018 09:52:49 AM,-3,0
08/29/2018 09:53:10 AM,-5,1
08/29/2018 09:53:30 AM,-3,1
08/29/2018 09:53:51 AM,-4,0
08/29/2018 09:54:11 AM,-4,1
08/29/2018 09:54:32 AM,-2,1
08/29/2018 09:54:53 AM,-6,1
08/29/2018 09:55:13 AM,-3,0
08/29/2018 09:55:34 AM,-2,1
08/29/2018 09:55:54 AM,-2,1
08/29/2018 09:56:15 AM,0,1
08/29/2018 09:56:35 AM,55,0
08/29/2018 09:56:56 AM,1,0
08/29/2018 09:57:16 AM,7,1
08/29/2018 09:57:37 AM,115,0
08/29/2018 09:57:57 AM,445,0
08/29/2018 09:58:18 AM,290,1
08/29/2018 09:58:38 AM,168,1
08/29/2018 09:58:59 AM,197,1
08/29/2018 09:59:19 AM,1224,1
08/29/2018 09:59:40 AM,199,1
08/29/2018 10:00:00 AM,311,1
08/29/2018 10:00:21 AM,2463,1
08/29/2018 10:00:42 AM,676,1
08/29/2018 10:01:02 AM,688,0
08/29/2018 10:01:23 AM,5858,1
08/29/2018 10:01:43 AM,1584,1
08/29/2018 10:02:04 AM,1362,1
08/29/2018 10:02:24 AM,941,1
08/29/2018 10:02:45 AM,930,1
08/29/2018 10:03:05 AM,756,1
08/29/2018 10:03:26 AM,895,1
08/29/2018 10:03:46 AM,1055,1
