Serial No.,Vers.,HAPEx No.,X,Y,Z,XRel,YRel,ZRel,Ref No.
69,2,2,0.66,1.005,0.6,1,1,1,111
747,4,3,0.66,1.005,1.2,1,1,2,112
77,2,4,0.66,1.005,1.8,1,1,3,113
82,2,5,0.66,2.005,0.6,1,2,1,121
110,3,6,0.66,2.005,1.2,1,2,2,122
63,2,7,0.66,2.005,1.8,1,2,3,123
343,4,9,0.66,3.005,0.6,1,3,1,131
60,2,10,0.66,3.005,1.2,1,3,2,132
744,4,11,0.66,3.005,1.8,1,3,3,133
80,4,12,1.66,1.005,0.6,2,1,1,211
71,2,13,1.66,1.005,1.2,2,1,2,212
751,2,14,1.66,1.005,1.8,2,1,3,213
103,4,15,1.66,1.005,2.4,2,1,4,214
753,2,16,1.66,2.005,0.6,2,2,1,221
62,3,17,1.66,2.005,1.2,2,2,2,222
86,2,18,1.66,2.005,1.8,2,2,3,223
85,4,19,1.66,2.005,2.4,2,2,4,224
102,2,20,1.66,3.005,0.6,2,3,1,231
745,2,21,1.66,3.005,1.2,2,3,2,232
61,3,22,1.66,3.005,1.8,2,3,3,233
*759,2,23,1.66,3.005,2.4,2,3,4,234
67,4,25,2.66,1.005,0.6,3,1,1,311
758,2,26,2.66,1.005,1.2,3,1,2,312
65,2,27,2.66,1.005,1.8,3,1,3,313
73,4,28,2.66,2.005,0.6,3,2,1,321
83,2,29,2.66,2.005,1.2,3,2,2,322
754,2,30,2.66,2.005,1.8,3,2,3,323
748,2,32,2.66,3.005,0.6,3,3,1,331
64,3,33,2.66,3.005,1.2,3,3,2,332
87,2,34,2.66,3.005,1.8,3,3,3,333
