Device Serial Number: ,85
Device firmware: ,2
Device PM slope: ,0.9265
Device PM offset: ,-331
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:21:33 AM
Mission end date: ,08/29/2018 07:23:44 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1751
Maximum 40 sample PM level:,1877
Minimum 40 sample PM level:,2
Average active PM concentration:,1003
Average PM concentration:,469

Time Stamp, PM, compliance
08/29/2018 09:21:33 AM,-17,1
08/29/2018 09:21:53 AM,6,1
08/29/2018 09:22:14 AM,8,1
08/29/2018 09:22:34 AM,8,0
08/29/2018 09:22:55 AM,9,0
08/29/2018 09:23:16 AM,9,1
08/29/2018 09:23:36 AM,11,1
08/29/2018 09:23:57 AM,12,1
08/29/2018 09:24:18 AM,13,1
08/29/2018 09:24:38 AM,4,0
08/29/2018 09:24:59 AM,4,0
08/29/2018 09:25:20 AM,7,1
08/29/2018 09:25:40 AM,4,0
08/29/2018 09:26:01 AM,6,0
08/29/2018 09:26:22 AM,6,0
08/29/2018 09:26:42 AM,4,0
08/29/2018 09:27:03 AM,5,0
08/29/2018 09:27:23 AM,6,0
08/29/2018 09:27:44 AM,4,0
08/29/2018 09:28:05 AM,5,0
08/29/2018 09:28:25 AM,5,0
08/29/2018 09:28:46 AM,5,0
08/29/2018 09:29:07 AM,4,0
08/29/2018 09:29:27 AM,4,1
08/29/2018 09:29:48 AM,3,0
08/29/2018 09:30:09 AM,3,0
08/29/2018 09:30:29 AM,7,1
08/29/2018 09:30:50 AM,5,1
08/29/2018 09:31:11 AM,8,1
08/29/2018 09:31:31 AM,7,1
08/29/2018 09:31:52 AM,7,1
08/29/2018 09:32:13 AM,9,1
08/29/2018 09:32:33 AM,7,1
08/29/2018 09:32:54 AM,6,1
08/29/2018 09:33:14 AM,6,0
08/29/2018 09:33:35 AM,23,1
08/29/2018 09:33:56 AM,3,1
08/29/2018 09:34:16 AM,7,1
08/29/2018 09:34:37 AM,18,1
08/29/2018 09:34:58 AM,5,1
08/29/2018 09:35:18 AM,6,1
08/29/2018 09:35:39 AM,8,1
08/29/2018 09:36:00 AM,5,1
08/29/2018 09:36:20 AM,5,1
08/29/2018 09:36:41 AM,4,1
08/29/2018 09:37:02 AM,3,1
08/29/2018 09:37:22 AM,5,1
08/29/2018 09:37:43 AM,26,1
08/29/2018 09:38:04 AM,3,1
08/29/2018 09:38:24 AM,6,1
08/29/2018 09:38:45 AM,2,1
08/29/2018 09:39:05 AM,3,0
08/29/2018 09:39:26 AM,2,0
08/29/2018 09:39:47 AM,2,0
08/29/2018 09:40:07 AM,8,0
08/29/2018 09:40:28 AM,3,0
08/29/2018 09:40:49 AM,1,0
08/29/2018 09:41:09 AM,3,1
08/29/2018 09:41:30 AM,0,0
08/29/2018 09:41:51 AM,1,0
08/29/2018 09:42:11 AM,0,1
08/29/2018 09:42:32 AM,1,1
08/29/2018 09:42:53 AM,3,1
08/29/2018 09:43:13 AM,0,1
08/29/2018 09:43:34 AM,1,1
08/29/2018 09:43:54 AM,1,1
08/29/2018 09:44:15 AM,0,1
08/29/2018 09:44:36 AM,0,1
08/29/2018 09:44:56 AM,0,1
08/29/2018 09:45:17 AM,1,1
08/29/2018 09:45:38 AM,0,1
08/29/2018 09:45:58 AM,0,1
08/29/2018 09:46:19 AM,2,1
08/29/2018 09:46:40 AM,0,1
08/29/2018 09:47:00 AM,0,1
08/29/2018 09:47:21 AM,0,1
08/29/2018 09:47:42 AM,0,1
08/29/2018 09:48:02 AM,1,1
08/29/2018 09:48:23 AM,0,1
08/29/2018 09:48:44 AM,2,1
08/29/2018 09:49:04 AM,0,1
08/29/2018 09:49:25 AM,0,1
08/29/2018 09:49:45 AM,0,1
08/29/2018 09:50:06 AM,0,1
08/29/2018 09:50:27 AM,0,0
08/29/2018 09:50:47 AM,0,0
08/29/2018 09:51:08 AM,0,1
08/29/2018 09:51:29 AM,0,1
08/29/2018 09:51:49 AM,0,1
08/29/2018 09:52:10 AM,0,1
08/29/2018 09:52:31 AM,0,1
08/29/2018 09:52:51 AM,0,1
08/29/2018 09:53:12 AM,0,1
08/29/2018 09:53:33 AM,-1,1
08/29/2018 09:53:53 AM,-2,1
08/29/2018 09:54:14 AM,0,1
08/29/2018 09:54:35 AM,-1,1
08/29/2018 09:54:55 AM,0,0
08/29/2018 09:55:16 AM,0,0
08/29/2018 09:55:36 AM,-1,1
08/29/2018 09:55:57 AM,1,1
08/29/2018 09:56:18 AM,5,1
08/29/2018 09:56:38 AM,49,1
08/29/2018 09:56:59 AM,40,1
08/29/2018 09:57:20 AM,274,1
08/29/2018 09:57:40 AM,531,0
08/29/2018 09:58:01 AM,2355,0
08/29/2018 09:58:22 AM,1199,1
08/29/2018 09:58:42 AM,1256,1
08/29/2018 09:59:03 AM,467,0
08/29/2018 09:59:24 AM,524,0
08/29/2018 09:59:44 AM,734,1
08/29/2018 10:00:05 AM,960,0
08/29/2018 10:00:25 AM,1789,1
08/29/2018 10:00:46 AM,3275,0
08/29/2018 10:01:07 AM,2611,0
08/29/2018 10:01:27 AM,3082,1
08/29/2018 10:01:48 AM,2193,1
08/29/2018 10:02:09 AM,1965,1
08/29/2018 10:02:29 AM,1274,1
08/29/2018 10:02:50 AM,1311,1
08/29/2018 10:03:11 AM,1347,1
08/29/2018 10:03:31 AM,1007,1
08/29/2018 10:03:52 AM,1139,1
08/29/2018 10:04:13 AM,1222,1
08/29/2018 10:04:33 AM,1095,1
08/29/2018 10:04:54 AM,868,1
08/29/2018 10:05:15 AM,806,1
08/29/2018 10:05:35 AM,797,1
08/29/2018 10:05:56 AM,932,1
08/29/2018 10:06:16 AM,1001,0
08/29/2018 10:06:37 AM,1055,1
08/29/2018 10:06:58 AM,1067,0
08/29/2018 10:07:18 AM,1098,1
08/29/2018 10:07:39 AM,970,0
08/29/2018 10:08:00 AM,820,1
08/29/2018 10:08:20 AM,1262,0
08/29/2018 10:08:41 AM,1686,1
08/29/2018 10:09:02 AM,1413,0
08/29/2018 10:09:22 AM,1006,0
08/29/2018 10:09:43 AM,1392,0
08/29/2018 10:10:04 AM,1213,1
08/29/2018 10:10:24 AM,956,0
08/29/2018 10:10:45 AM,856,0
