Device Serial Number: ,61
Device firmware: ,2
Device PM slope: ,0.9516
Device PM offset: ,-169
Device vibration threshold: ,10

Time Zone: UTC ,-7
Time format:,MM/DD/YYYY 12H
Mission start date: ,08/29/2018 09:25:55 AM
Mission end date: ,08/29/2018 07:33:12 PM
Mission log rate: ,20, seconds
Number of sample taken: ,1777
Maximum 40 sample PM level:,1919
Minimum 40 sample PM level:,10
Average active PM concentration:,600
Average PM concentration:,455

Time Stamp, PM, compliance
08/29/2018 09:25:55 AM,-2,1
08/29/2018 09:26:15 AM,6,1
08/29/2018 09:26:36 AM,7,1
08/29/2018 09:26:56 AM,7,0
08/29/2018 09:27:17 AM,6,0
08/29/2018 09:27:37 AM,9,1
08/29/2018 09:27:58 AM,9,1
08/29/2018 09:28:18 AM,9,1
08/29/2018 09:28:39 AM,7,1
08/29/2018 09:28:59 AM,7,1
08/29/2018 09:29:20 AM,88,1
08/29/2018 09:29:40 AM,9,0
08/29/2018 09:30:01 AM,11,0
08/29/2018 09:30:21 AM,8,0
08/29/2018 09:30:42 AM,10,0
08/29/2018 09:31:02 AM,13,1
08/29/2018 09:31:23 AM,10,1
08/29/2018 09:31:43 AM,11,1
08/29/2018 09:32:04 AM,9,1
08/29/2018 09:32:24 AM,7,1
08/29/2018 09:32:45 AM,8,1
08/29/2018 09:33:05 AM,11,1
08/29/2018 09:33:26 AM,13,1
08/29/2018 09:33:46 AM,23,1
08/29/2018 09:34:07 AM,18,1
08/29/2018 09:34:27 AM,19,1
08/29/2018 09:34:48 AM,27,0
08/29/2018 09:35:08 AM,26,1
08/29/2018 09:35:29 AM,26,1
08/29/2018 09:35:49 AM,34,0
08/29/2018 09:36:10 AM,27,0
08/29/2018 09:36:30 AM,25,1
08/29/2018 09:36:51 AM,27,1
08/29/2018 09:37:12 AM,28,1
08/29/2018 09:37:32 AM,27,1
08/29/2018 09:37:53 AM,26,0
08/29/2018 09:38:13 AM,24,0
08/29/2018 09:38:34 AM,24,0
08/29/2018 09:38:54 AM,24,0
08/29/2018 09:39:15 AM,25,0
08/29/2018 09:39:35 AM,24,0
08/29/2018 09:39:56 AM,24,0
08/29/2018 09:40:16 AM,23,1
08/29/2018 09:40:37 AM,23,0
08/29/2018 09:40:57 AM,9,0
08/29/2018 09:41:18 AM,6,0
08/29/2018 09:41:38 AM,8,0
08/29/2018 09:41:59 AM,8,1
08/29/2018 09:42:19 AM,5,1
08/29/2018 09:42:40 AM,6,0
08/29/2018 09:43:00 AM,4,0
08/29/2018 09:43:21 AM,7,0
08/29/2018 09:43:41 AM,5,1
08/29/2018 09:44:02 AM,5,1
08/29/2018 09:44:22 AM,6,0
08/29/2018 09:44:43 AM,3,0
08/29/2018 09:45:03 AM,5,0
08/29/2018 09:45:24 AM,6,0
08/29/2018 09:45:44 AM,6,0
08/29/2018 09:46:05 AM,6,1
08/29/2018 09:46:25 AM,4,1
08/29/2018 09:46:46 AM,5,0
08/29/2018 09:47:06 AM,4,0
08/29/2018 09:47:27 AM,6,0
08/29/2018 09:47:48 AM,6,1
08/29/2018 09:48:08 AM,6,0
08/29/2018 09:48:29 AM,5,0
08/29/2018 09:48:49 AM,7,0
08/29/2018 09:49:10 AM,5,0
08/29/2018 09:49:30 AM,5,0
08/29/2018 09:49:51 AM,4,0
08/29/2018 09:50:11 AM,4,0
08/29/2018 09:50:32 AM,4,1
08/29/2018 09:50:52 AM,4,0
08/29/2018 09:51:13 AM,5,0
08/29/2018 09:51:33 AM,5,0
08/29/2018 09:51:54 AM,4,0
08/29/2018 09:52:14 AM,5,1
08/29/2018 09:52:35 AM,3,1
08/29/2018 09:52:55 AM,4,0
08/29/2018 09:53:16 AM,6,0
08/29/2018 09:53:36 AM,6,0
08/29/2018 09:53:57 AM,4,1
08/29/2018 09:54:17 AM,3,1
08/29/2018 09:54:38 AM,3,0
08/29/2018 09:54:58 AM,4,1
08/29/2018 09:55:19 AM,4,0
08/29/2018 09:55:39 AM,3,0
08/29/2018 09:56:00 AM,3,1
08/29/2018 09:56:20 AM,3,1
08/29/2018 09:56:41 AM,15,0
08/29/2018 09:57:01 AM,30,0
08/29/2018 09:57:22 AM,35,0
08/29/2018 09:57:42 AM,39,0
08/29/2018 09:58:03 AM,64,0
08/29/2018 09:58:24 AM,743,0
08/29/2018 09:58:44 AM,827,0
08/29/2018 09:59:05 AM,766,0
08/29/2018 09:59:25 AM,362,1
08/29/2018 09:59:46 AM,203,1
08/29/2018 10:00:06 AM,477,1
08/29/2018 10:00:27 AM,955,1
08/29/2018 10:00:47 AM,1575,0
08/29/2018 10:01:08 AM,2192,0
08/29/2018 10:01:28 AM,2507,0
08/29/2018 10:01:49 AM,2342,1
08/29/2018 10:02:09 AM,2220,0
08/29/2018 10:02:30 AM,1316,0
08/29/2018 10:02:50 AM,940,0
08/29/2018 10:03:11 AM,983,0
08/29/2018 10:03:31 AM,856,0
08/29/2018 10:03:52 AM,942,0
08/29/2018 10:04:12 AM,1154,1
08/29/2018 10:04:33 AM,951,0
08/29/2018 10:04:53 AM,885,1
08/29/2018 10:05:14 AM,678,1
08/29/2018 10:05:34 AM,707,0
08/29/2018 10:05:55 AM,640,0
08/29/2018 10:06:15 AM,729,0
08/29/2018 10:06:36 AM,613,1
08/29/2018 10:06:56 AM,578,0
08/29/2018 10:07:17 AM,810,0
08/29/2018 10:07:37 AM,829,0
08/29/2018 10:07:58 AM,801,1
08/29/2018 10:08:18 AM,917,1
08/29/2018 10:08:39 AM,988,0
08/29/2018 10:09:00 AM,977,0
08/29/2018 10:09:20 AM,1184,1
08/29/2018 10:09:41 AM,780,1
08/29/2018 10:10:01 AM,879,0
08/29/2018 10:10:22 AM,864,0
08/29/2018 10:10:42 AM,668,0
08/29/2018 10:11:03 AM,509,0
08/29/2018 10:11:23 AM,464,0
08/29/2018 10:11:44 AM,456,1
08/29/2018 10:12:04 AM,1157,0
08/29/2018 10:12:25 AM,811,1
08/29/2018 10:12:45 AM,679,1
08/29/2018 10:13:06 AM,634,0
08/29/2018 10:13:26 AM,683,0
08/29/2018 10:13:47 AM,608,0
08/29/2018 10:14:07 AM,1035,0
08/29/2018 10:14:28 AM,1427,0
08/29/2018 10:14:48 AM,526,0
08/29/2018 10:15:09 AM,1059,1
08/29/2018 10:15:29 AM,929,0
08/29/2018 10:15:50 AM,801,0
08/29/2018 10:16:10 AM,563,0
08/29/2018 10:16:31 AM,436,1
08/29/2018 10:16:51 AM,426,1
